State/Territory,Suburb/Locality,Postcode,MMM classification,,
New South Wales,ALFORDS POINT,2234,1,,
New South Wales,ALFREDTOWN,2650,5,,
New South Wales,ALICE,2469,5,,
New South Wales,ALISON (NSW 2259),2259,1,,
New South Wales,ALISON (NSW 2420),2420,5,,
New South Wales,ALLAMBIE,2100,1,,
New South Wales,ALLAMBIE HEIGHTS,2100,1,,
New South Wales,ALLANDALE (NSW),2320,2,,
New South Wales,ALLAWAH,2218,1,,
New South Wales,ALLEENA,2671,5,,
New South Wales,ALLGOMERA,2441,5,,
New South Wales,ALLWORTH,2425,5,,
New South Wales,ALLYNBROOK,2311,5,,
New South Wales,ALMA PARK,2659,5,,
New South Wales,ALPINE,2575,3,,
New South Wales,ALSTONVALE,2477,3,,
New South Wales,ALSTONVILLE,2477,3,,
New South Wales,ALUMY CREEK,2460,3,,
New South Wales,AMAROO (NSW),2866,5,,
New South Wales,AMBARVALE,2560,1,,
New South Wales,AMOSFIELD,4380,5,,
New South Wales,ANABRANCH NORTH,2648,6,,
New South Wales,ANABRANCH SOUTH,2648,6,,
New South Wales,ANAMBAH,2320,2,,
New South Wales,ANDO,2631,5,,
New South Wales,ANEMBO,2621,5,,
New South Wales,ANGLEDALE,2550,5,,
New South Wales,ANGLEDOOL,2834,7,,
New South Wales,ANGLERS REACH,2629,5,,
New South Wales,ANGOURIE,2464,4,,
New South Wales,ANNA BAY,2316,4,,
New South Wales,ANNANDALE (NSW),2038,1,,
New South Wales,ANNANGROVE,2156,1,,
New South Wales,APPIN (NSW),2560,2,,
New South Wales,APPLE TREE FLAT,2850,5,,
New South Wales,APPLEBY,2340,3,,
New South Wales,APPLETREE FLAT,2330,5,,
New South Wales,APSLEY (NSW),2820,5,,
New South Wales,ARABLE,2630,5,,
New South Wales,ARAKOON,2431,5,,
New South Wales,ARALUEN (NSW),2622,5,,
New South Wales,ARATULA (NSW),2714,5,,
New South Wales,ARCADIA (NSW),2159,2,,
New South Wales,ARCADIA VALE,2283,1,,
New South Wales,ARDGLEN,2338,5,,
New South Wales,ARDING,2358,3,,
New South Wales,ARDLETHAN,2665,5,,
New South Wales,ARGALONG,2720,5,,
New South Wales,ARGENTON,2284,1,,
New South Wales,ARGENTS HILL,2449,5,,
New South Wales,ARGOON (NSW),2707,5,,
New South Wales,ARIAH PARK,2665,5,,
New South Wales,ARKELL,2795,5,,
New South Wales,ARKSTONE,2795,5,,
New South Wales,ARMATREE,2828,5,,
New South Wales,ARMIDALE,2350,3,,
New South Wales,ARMIDALE (UNIVERSITY OF NEW ENGLAND),2351,3,,
New South Wales,ARNCLIFFE,2205,1,,
New South Wales,ARNDELL PARK,2148,1,,
New South Wales,ARRAWARRA,2456,5,,
New South Wales,ARRAWARRA HEADLAND,2456,5,,
New South Wales,ARTARMON,2064,1,,
New South Wales,ARTHURVILLE,2820,5,,
New South Wales,ARUMPO,2715,6,,
New South Wales,ASHBURY,2193,1,,
New South Wales,ASHBY (NSW),2463,5,,
New South Wales,ASHBY HEIGHTS,2463,5,,
New South Wales,ASHBY ISLAND,2463,5,,
New South Wales,ASHCROFT,2168,1,,
New South Wales,ASHFIELD (NSW),2131,1,,
New South Wales,ASHFORD (NSW),2361,5,,
New South Wales,ASHLEY,2400,5,,
New South Wales,ASHMONT,2650,3,,
New South Wales,ASHTONFIELD,2323,1,,
New South Wales,ASQUITH,2077,1,,
New South Wales,ATHOLWOOD,2361,5,,
New South Wales,ATTUNGA,2345,5,,
New South Wales,AUBURN (NSW),2144,1,,
New South Wales,AUBURN VALE,2360,5,,
New South Wales,AUSTINMER,2515,1,,
New South Wales,AUSTRAL,2179,1,,
New South Wales,AUSTRAL EDEN,2440,5,,
New South Wales,AVALON (NSW),2107,1,,
New South Wales,AVISFORD,2850,5,,
New South Wales,AVOCA (NSW),2577,3,,
New South Wales,AVOCA BEACH,2251,1,,
New South Wales,AVON (NSW),2574,2,,
New South Wales,AVONDALE (NSW),2530,2,,
New South Wales,AVONSIDE,2628,5,,
New South Wales,AWABA,2283,1,,
New South Wales,AYLMERTON,2575,3,,
New South Wales,BAAN BAA,2390,5,,
New South Wales,BABINDA (NSW),2825,6,,
New South Wales,BABYL CREEK,2470,5,,
New South Wales,BACK CREEK (NSW 2372),2372,5,,
New South Wales,BACK CREEK (NSW 2390),2390,5,,
New South Wales,BACK CREEK (NSW 2422),2422,5,,
New South Wales,BACK CREEK (NSW 2484),2484,5,,
New South Wales,BACK CREEK (NSW 2622),2622,5,,
New South Wales,BACK CREEK (NSW 2671),2671,5,,
New South Wales,BACK FOREST,2535,3,,
New South Wales,BACKMEDE,2470,5,,
New South Wales,BACKWATER,2365,5,,
New South Wales,BADGERYS CREEK,2555,2,,
New South Wales,BADJA,2630,5,,
New South Wales,BAERAMI,2333,5,,
New South Wales,BAERAMI CREEK,2333,5,,
New South Wales,BAGNOO,2446,5,,
New South Wales,BAGO,2446,5,,
New South Wales,BAGOTVILLE,2477,5,,
New South Wales,BAKERS CREEK (NSW 2359),2359,5,,
New South Wales,BAKERS CREEK (NSW 2422),2422,5,,
New South Wales,BAKERS CREEK (NSW 2447),2447,5,,
New South Wales,BAKERS SWAMP,2820,5,,
New South Wales,BALACLAVA (NSW),2575,3,,
New South Wales,BALALA,2358,5,,
New South Wales,BALARANG,2529,1,,
New South Wales,BALCOLYN,2264,1,,
New South Wales,BALD BLAIR,2365,5,,
New South Wales,BALD HILLS (NSW),2549,4,,
New South Wales,BALD NOB,2370,5,,
New South Wales,BALD RIDGE,2795,5,,
New South Wales,BALDERSLEIGH,2365,5,,
New South Wales,BALDRY,2867,5,,
New South Wales,BALFOURS PEAK,2403,5,,
New South Wales,BALGOWLAH,2093,1,,
New South Wales,BALGOWLAH HEIGHTS,2093,1,,
New South Wales,BALGOWNIE,2519,1,,
New South Wales,BALICKERA,2324,2,,
New South Wales,BALLADORAN,2831,5,,
New South Wales,BALLALABA,2622,5,,
New South Wales,BALLDALE,2646,5,,
New South Wales,BALLENGARRA,2441,5,,
New South Wales,BALLIMORE,2830,5,,
New South Wales,BALLINA,2478,3,,
New South Wales,BALLYROE,2795,5,,
New South Wales,BALMAIN,2041,1,,
New South Wales,BALMAIN EAST,2041,1,,
New South Wales,BALMORAL (NSW 2283),2283,1,,
New South Wales,BALMORAL (NSW 2571),2571,5,,
New South Wales,BALRANALD,2715,5,,
New South Wales,BAMARANG,2540,3,,
New South Wales,BANDA BANDA,2446,5,,
New South Wales,BANDON GROVE,2420,5,,
New South Wales,BANGADANG,2729,5,,
New South Wales,BANGALEE (NSW),2541,3,,
New South Wales,BANGALOW,2479,4,,
New South Wales,BANGHEET,2404,5,,
New South Wales,BANGO,2582,5,,
New South Wales,BANGOR (NSW),2234,1,,
New South Wales,BANKSIA,2216,1,,
New South Wales,BANKSMEADOW,2019,1,,
New South Wales,BANKSTOWN,2200,1,,
New South Wales,BANKSTOWN AERODROME,2200,1,,
New South Wales,BANNABY,2580,5,,
New South Wales,BANNISTER (NSW),2580,5,,
New South Wales,BANOON,2347,5,,
New South Wales,BANORA POINT,2486,1,,
New South Wales,BANYABBA,2460,5,,
New South Wales,BAR BEACH,2300,1,,
New South Wales,BAR POINT,2083,2,,
New South Wales,BARA,2850,5,,
New South Wales,BARADINE,2396,6,,
New South Wales,BARANGAROO,2000,1,,
New South Wales,BARCOONGERE,2460,5,,
New South Wales,BARDEN RIDGE,2234,1,,
New South Wales,BARDIA,2565,1,,
New South Wales,BARDWELL PARK,2207,1,,
New South Wales,BARDWELL VALLEY,2207,1,,
New South Wales,BARELLAN,2665,5,,
New South Wales,BARGO,2574,5,,
New South Wales,BARHAM,2732,5,,
New South Wales,BARIGAN,2850,5,,
New South Wales,BARKERS VALE,2474,5,,
New South Wales,BARMEDMAN,2668,5,,
New South Wales,BARNEYS REEF,2852,5,,
New South Wales,BARNSLEY,2278,1,,
New South Wales,BAROOGA,3644,4,,
New South Wales,BARRABA,2347,5,,
New South Wales,BARRACK HEIGHTS,2528,1,,
New South Wales,BARRACK POINT,2528,1,,
New South Wales,BARRAGANYATTI,2441,5,,
New South Wales,BARRAGGA BAY,2546,5,,
New South Wales,BARRATTA (NSW),2710,5,,
New South Wales,BARREN GROUNDS,2577,2,,
New South Wales,BARRENGARRY,2577,5,,
New South Wales,BARRETTS CREEK,2460,5,,
New South Wales,BARRINGELLA,2540,3,,
New South Wales,BARRINGTON (NSW),2422,5,,
New South Wales,BARRINGTON TOPS,2422,5,,
New South Wales,BARRY (NSW 2340),2340,5,,
New South Wales,BARRY (NSW 2799),2799,5,,
New South Wales,BARWANG,2594,5,,
New South Wales,BARWON,2396,6,,
New South Wales,BARYULGIL,2460,5,,
New South Wales,BASIN VIEW,2540,4,,
New South Wales,BASS HILL,2197,1,,
New South Wales,BASSENDEAN (NSW),2365,5,,
New South Wales,BATAR CREEK,2439,5,,
New South Wales,BATEAU BAY,2261,1,,
New South Wales,BATEHAVEN,2536,4,,
New South Wales,BATEMANS BAY,2536,4,,
New South Wales,BATHAMPTON,2795,3,,
New South Wales,BATHURST,2795,3,,
New South Wales,BATLOW,2730,5,,
New South Wales,BAULKHAM HILLS,2153,1,,
New South Wales,BAW BAW (NSW),2580,3,,
New South Wales,BAWLEY POINT,2539,5,,
New South Wales,BAXTERS RIDGE,2422,5,,
New South Wales,BAYVIEW (NSW),2104,1,,
New South Wales,BEACON HILL,2100,1,,
New South Wales,BEACONSFIELD (NSW),2015,1,,
New South Wales,BEAN CREEK,2469,5,,
New South Wales,BEARBONG,2827,5,,
New South Wales,BEAUMONT (NSW),2577,3,,
New South Wales,BEAUMONT HILLS,2155,1,,
New South Wales,BEAUTY POINT,2265,1,,
New South Wales,BECKOM,2665,5,,
New South Wales,BECTIVE,2340,5,,
New South Wales,BECTRIC,2665,5,,
New South Wales,BEDGERABONG,2871,5,,
New South Wales,BEECHWOOD,2446,4,,
New South Wales,BEECROFT,2119,1,,
New South Wales,BEECROFT PENINSULA,2540,5,,
New South Wales,BEELBANGERA,2680,3,,
New South Wales,BEEMUNNEL,2824,6,,
New South Wales,BEGA,2550,5,,
New South Wales,BEGGAN BEGGAN,2587,5,,
New South Wales,BELANGLO,2577,5,,
New South Wales,BELBORA,2422,5,,
New South Wales,BELFIELD,2191,1,,
New South Wales,BELFORD,2335,5,,
New South Wales,BELFRAYDEN,2650,5,,
New South Wales,BELGRAVIA,2800,5,,
New South Wales,BELIMBLA PARK,2570,2,,
New South Wales,BELL (NSW),2786,5,,
New South Wales,BELLA VISTA,2153,1,,
New South Wales,BELLAMBI,2518,1,,
New South Wales,BELLANGRY,2446,5,,
New South Wales,BELLATA,2397,5,,
New South Wales,BELLAWONGARAH,2535,3,,
New South Wales,BELLBIRD,2325,3,,
New South Wales,BELLBIRD HEIGHTS,2325,3,,
New South Wales,BELLBROOK,2440,5,,
New South Wales,BELLEVUE HILL,2023,1,,
New South Wales,BELLIMBOPINNI,2440,5,,
New South Wales,BELLINGEN,2454,5,,
New South Wales,BELLMOUNT FOREST,2581,5,,
New South Wales,BELLTREES,2337,5,,
New South Wales,BELMONT (NSW),2280,1,,
New South Wales,BELMONT NORTH,2280,1,,
New South Wales,BELMONT SOUTH,2280,1,,
New South Wales,BELMORE,2192,1,,
New South Wales,BELMORE RIVER,2440,5,,
New South Wales,BELOKA,2628,5,,
New South Wales,BELOWRA,2545,5,,
New South Wales,BELROSE,2085,1,,
New South Wales,BEMBOKA,2550,5,,
New South Wales,BEN BULLEN,2790,5,,
New South Wales,BEN LOMOND (NSW),2365,5,,
New South Wales,BENANDARAH,2536,4,,
New South Wales,BENDALONG,2539,5,,
New South Wales,BENDEMEER,2355,5,,
New South Wales,BENDICK MURRELL,2803,5,,
New South Wales,BENDOLBA,2420,5,,
New South Wales,BENDOURA,2622,5,,
New South Wales,BENEREMBAH,2680,5,,
New South Wales,BENGALLA,2333,5,,
New South Wales,BENNETTS GREEN,2290,1,,
