LGA_Code,LGA_Name,Year,Estimated_resident_population_(no.),Persons_Aged_0-14,Percent_Aged_0-14,Persons_Aged_15-24,Percent_Aged_15-24,Persons_Aged_25-34,Percent_Aged_25-34,Persons_Aged_35-44,Percent_Aged_35-44,Persons_Aged_45-54,Percent_Aged_45-54,Persons_Aged_55-64,Percent_Aged_55-64,Persons_Aged_65+,Percent_Aged_65+
56300,Nannup,2020,1547,232,15,78,5,104,6.7,168,10.9,192,12.4,287,18.6,486,31.4
56300,Nannup,2021,1575,223,14.2,80,5.1,100,6.3,187,11.9,185,11.7,286,18.2,514,32.6
56300,Nannup,2022,1593,202,12.7,101,6.3,101,6.3,194,12.2,189,11.9,287,18,519,32.6
56300,Nannup,2023,1632,196,12,128,7.8,88,5.4,206,12.6,196,12,277,17,541,33.1
56370,Narembeen,2020,829,161,19.4,38,4.6,124,15,85,10.3,91,11,131,15.8,199,24
56370,Narembeen,2021,820,152,18.5,38,4.6,117,14.3,76,9.3,102,12.4,131,16,204,24.9
56370,Narembeen,2022,822,152,18.5,40,4.9,114,13.9,85,10.3,94,11.4,131,15.9,206,25.1
56370,Narembeen,2023,833,153,18.4,52,6.2,109,13.1,97,11.6,80,9.6,134,16.1,208,25
56460,Narrogin,2020,4987,924,18.5,613,12.3,572,11.5,550,11,633,12.7,657,13.2,1038,20.8
56460,Narrogin,2021,4937,880,17.8,628,12.7,548,11.1,545,11,601,12.2,684,13.9,1051,21.3
56460,Narrogin,2022,4959,904,18.2,644,13,562,11.3,536,10.8,597,12,680,13.7,1036,20.9
56460,Narrogin,2023,4983,876,17.6,657,13.2,573,11.5,547,11,593,11.9,677,13.6,1060,21.3
56580,Nedlands,2020,23075,4461,19.3,3198,13.9,2087,9,2654,11.5,3235,14,2814,12.2,4626,20
56580,Nedlands,2021,22924,4406,19.2,3183,13.9,1982,8.6,2549,11.1,3220,14,2829,12.3,4755,20.7
56580,Nedlands,2022,23018,4330,18.8,3377,14.7,2056,8.9,2441,10.6,3214,14,2756,12,4844,21
56580,Nedlands,2023,24127,4298,17.8,3887,16.1,2388,9.9,2648,11,3233,13.4,2780,11.5,4893,20.3
56620,Ngaanyatjarraku,2020,1502,343,22.8,254,16.9,243,16.2,223,14.8,211,14,148,9.9,80,5.3
56620,Ngaanyatjarraku,2021,1476,322,21.8,264,17.9,237,16.1,217,14.7,203,13.8,149,10.1,84,5.7
56620,Ngaanyatjarraku,2022,1478,305,20.6,278,18.8,236,16,226,15.3,198,13.4,153,10.4,82,5.5
56620,Ngaanyatjarraku,2023,1479,283,19.1,270,18.3,245,16.6,234,15.8,198,13.4,157,10.6,92,6.2
56730,Northam,2020,11594,2164,18.7,1295,11.2,1328,11.5,1338,11.5,1508,13,1692,14.6,2269,19.6
56730,Northam,2021,11804,2183,18.5,1301,11,1305,11.1,1357,11.5,1538,13,1729,14.6,2391,20.3
56730,Northam,2022,11938,2237,18.7,1303,10.9,1280,10.7,1419,11.9,1529,12.8,1745,14.6,2425,20.3
56730,Northam,2023,12193,2240,18.4,1360,11.2,1354,11.1,1453,11.9,1495,12.3,1773,14.5,2518,20.7
56790,Northampton,2020,3279,512,15.6,223,6.8,266,8.1,350,10.7,418,12.7,601,18.3,909,27.7
56790,Northampton,2021,3332,517,15.5,219,6.6,261,7.8,350,10.5,410,12.3,613,18.4,962,28.9
56790,Northampton,2022,3343,507,15.2,239,7.1,236,7.1,345,10.3,413,12.4,597,17.9,1006,30.1
56790,Northampton,2023,3369,514,15.3,250,7.4,217,6.4,352,10.4,406,12.1,574,17,1056,31.3
56860,Nungarin,2020,261,34,13,29,11.1,27,10.3,28,10.7,38,14.6,50,19.2,55,21.1
56860,Nungarin,2021,263,41,15.6,30,11.4,19,7.2,23,8.7,41,15.6,47,17.9,62,23.6
56860,Nungarin,2022,261,42,16.1,23,8.8,26,10,19,7.3,45,17.2,48,18.4,58,22.2
56860,Nungarin,2023,256,43,16.8,17,6.6,26,10.2,19,7.4,43,16.8,43,16.8,65,25.4
56930,Peppermint Grove,2020,1661,295,17.8,332,20,114,6.9,129,7.8,231,13.9,235,14.1,325,19.6
56930,Peppermint Grove,2021,1638,286,17.5,327,20,114,7,128,7.8,226,13.8,222,13.6,335,20.5
56930,Peppermint Grove,2022,1638,273,16.7,349,21.3,103,6.3,119,7.3,216,13.2,225,13.7,353,21.6
